related_instance_id	related_pr_url	related_issue_url	experience_instance_id	experience_pr_url	experience_issue_url
astropy__astropy-15082	https://github.com/astropy/astropy/pull/15082	https://github.com/astropy/astropy/issues/15082	astropy__astropy-14995	https://github.com/astropy/astropy/pull/14995	https://github.com/astropy/astropy/issues/14978
astropy__astropy-4973	https://github.com/astropy/astropy/pull/7746	https://github.com/astropy/astropy/issues/4973	astropy__astropy-7746	https://github.com/astropy/astropy/pull/7746	https://github.com/astropy/astropy/issues/7389
django__django-30153	https://github.com/django/django/pull/10939	https://code.djangoproject.com/ticket/30153	django__django-11019	https://github.com/django/django/pull/11019	https://code.djangoproject.com/ticket/30179
django__django-20098	https://github.com/django/django/pull/10569	https://code.djangoproject.com/ticket/20098	django__django-11630	https://github.com/django/django/pull/11630	https://code.djangoproject.com/ticket/30673
django__django-27910	https://github.com/django/django/pull/11540	https://code.djangoproject.com/ticket/27910	django__django-11742	https://github.com/django/django/pull/11742	https://code.djangoproject.com/ticket/30757
django__django-30254	https://github.com/django/django/pull/11085	https://code.djangoproject.com/ticket/30254	django__django-11999	https://github.com/django/django/pull/11999	https://code.djangoproject.com/ticket/30931
django__django-30931	https://github.com/django/django/pull/11999	https://code.djangoproject.com/ticket/30931	django__django-12284	https://github.com/django/django/pull/12284	https://code.djangoproject.com/ticket/31124
django__django-31051	https://github.com/django/django/pull/12458	https://code.djangoproject.com/ticket/31051	django__django-12453	https://github.com/django/django/pull/12453	https://code.djangoproject.com/ticket/26552
django__django-34176	https://github.com/django/django/pull/16321	https://code.djangoproject.com/ticket/34176	django__django-12589	https://github.com/django/django/pull/12589	https://code.djangoproject.com/ticket/31377
django__django-28862	https://github.com/django/django/pull/10178	https://code.djangoproject.com/ticket/28862	django__django-12708	https://github.com/django/django/pull/12708	https://code.djangoproject.com/ticket/29224
django__django-29123	https://github.com/django/django/pull/10178	https://code.djangoproject.com/ticket/29123	django__django-12708	https://github.com/django/django/pull/12708	https://code.djangoproject.com/ticket/29224
django__django-28916	https://github.com/django/django/pull/10178	https://code.djangoproject.com/ticket/28916	django__django-12708	https://github.com/django/django/pull/12708	https://code.djangoproject.com/ticket/29224
django__django-29124	https://github.com/django/django/pull/10178	https://code.djangoproject.com/ticket/29124	django__django-12708	https://github.com/django/django/pull/12708	https://code.djangoproject.com/ticket/29224
django__django-27995	https://github.com/django/django/pull/11591	https://code.djangoproject.com/ticket/27995	django__django-12908	https://github.com/django/django/pull/12908	https://code.djangoproject.com/ticket/31580
django__django-30651	https://github.com/django/django/pull/11808	https://code.djangoproject.com/ticket/30651	django__django-13220	https://github.com/django/django/pull/13220	https://code.djangoproject.com/ticket/28507
django__django-29838	https://github.com/django/django/pull/10502	https://code.djangoproject.com/ticket/29838	django__django-13220	https://github.com/django/django/pull/13220	https://code.djangoproject.com/ticket/28507
django__django-1891	https://github.com/django/django/pull/13315	https://code.djangoproject.com/ticket/1891	django__django-13315	https://github.com/django/django/pull/13315	https://code.djangoproject.com/ticket/11707
django__django-31864	https://github.com/django/django/pull/13279	https://code.djangoproject.com/ticket/31864	django__django-13321	https://github.com/django/django/pull/13321	https://code.djangoproject.com/ticket/31895
django__django-28147	https://github.com/django/django/pull/11587	https://code.djangoproject.com/ticket/28147	django__django-13964	https://github.com/django/django/pull/13964	https://code.djangoproject.com/ticket/32332
django__django-28211	https://github.com/django/django/pull/8517	https://code.djangoproject.com/ticket/28211	django__django-14016	https://github.com/django/django/pull/14016	https://code.djangoproject.com/ticket/32450
django__django-32450	https://github.com/django/django/pull/14016	https://code.djangoproject.com/ticket/32450	django__django-14017	https://github.com/django/django/pull/14017	https://code.djangoproject.com/ticket/32455
django__django-11776	https://github.com/django/django/pull/2558	https://code.djangoproject.com/ticket/11776	django__django-14608	https://github.com/django/django/pull/14608	https://code.djangoproject.com/ticket/32905
django__django-32260	https://github.com/django/django/pull/14124	https://code.djangoproject.com/ticket/32260	django__django-14787	https://github.com/django/django/pull/14787	https://code.djangoproject.com/ticket/33043
django__django-31181	https://github.com/django/django/pull/12343	https://code.djangoproject.com/ticket/31181	django__django-14855	https://github.com/django/django/pull/14855	https://code.djangoproject.com/ticket/33077
django__django-27858	https://github.com/django/django/pull/8082	https://code.djangoproject.com/ticket/27858	django__django-15252	https://github.com/django/django/pull/15252	https://code.djangoproject.com/ticket/23273
django__django-32012	https://github.com/django/django/pull/13448	https://code.djangoproject.com/ticket/32012	django__django-15252	https://github.com/django/django/pull/15252	https://code.djangoproject.com/ticket/23273
django__django-31504	https://github.com/django/django/pull/12796	https://code.djangoproject.com/ticket/31504	django__django-15252	https://github.com/django/django/pull/15252	https://code.djangoproject.com/ticket/23273
django__django-33461	https://github.com/django/django/pull/15361	https://code.djangoproject.com/ticket/33461	django__django-15388	https://github.com/django/django/pull/15388	https://code.djangoproject.com/ticket/33473
django__django-18166	https://github.com/django/django/pull/4757	https://code.djangoproject.com/ticket/18166	django__django-16041	https://github.com/django/django/pull/16041	https://code.djangoproject.com/ticket/33995
django__django-21501	https://github.com/django/django/pull/4757	https://code.djangoproject.com/ticket/21501	django__django-16041	https://github.com/django/django/pull/16041	https://code.djangoproject.com/ticket/33995
django__django-33871	https://github.com/django/django/pull/16229	https://code.djangoproject.com/ticket/33871	django__django-16229	https://github.com/django/django/pull/16229	https://code.djangoproject.com/ticket/34119
django__django-25916	https://github.com/django/django/pull/14068	https://code.djangoproject.com/ticket/25916	django__django-16255	https://github.com/django/django/pull/16255	https://code.djangoproject.com/ticket/34088
django__django-34481	https://github.com/django/django/pull/16757	https://code.djangoproject.com/ticket/34481	django__django-16816	https://github.com/django/django/pull/16816	https://code.djangoproject.com/ticket/34513
django__django-34525	https://github.com/django/django/pull/16820	https://code.djangoproject.com/ticket/34525	django__django-16820	https://github.com/django/django/pull/16820	https://code.djangoproject.com/ticket/34529
django__django-26486	https://github.com/django/django/pull/6441	https://code.djangoproject.com/ticket/26486	django__django-16910	https://github.com/django/django/pull/16910	https://code.djangoproject.com/ticket/34612
django__django-21204	https://github.com/django/django/pull/15985	https://code.djangoproject.com/ticket/21204	django__django-16910	https://github.com/django/django/pull/16910	https://code.djangoproject.com/ticket/34612
django__django-35356	https://github.com/django/django/pull/18055	https://code.djangoproject.com/ticket/35356	django__django-16910	https://github.com/django/django/pull/16910	https://code.djangoproject.com/ticket/34612
django__django-34570	https://github.com/django/django/pull/16862	https://code.djangoproject.com/ticket/34570	django__django-16910	https://github.com/django/django/pull/16910	https://code.djangoproject.com/ticket/34612
